Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148923,D14,BRD-K01826028-001-01-9,4.841411,4841.411,10.0,10000.0,0.04,40,DMSO,484.1411,483.968527356
BR00148923,D15,BRD-M67659203-001-02-7,3.48196,3481.96,10.0,10000.0,0.04,40,DMSO,348.196,347.059302114
BR00148923,D16,BRD-K00094013-001-05-9,5.435193,5435.193,10.0,10000.0,0.04,40,DMSO,543.5193,543.174060775
BR00148923,D17,BRD-K35170555-001-09-5,1.442114,1442.114,10.0,10000.0,0.04,40,DMSO,144.2114,144.115029756
BR00148923,D18,BRD-K18673820-001-19-9,4.413975,4413.975,10.0,10000.0,0.04,40,DMSO,441.3975,441.139681375
BR00148923,D19,BRD-K00003257-001-01-9,7.53223,7532.23,10.0,10000.0,0.04,40,DMSO,753.223,752.157534462
BR00148923,D20,BRD-K46331928-001-09-9,3.845085,3845.085,10.0,10000.0,0.04,40,DMSO,384.5085,384.230059512
BR00148923,D21,BRD-A84907376-300-03-8,7.39815,7398.15,10.0,10000.0,0.04,40,DMSO,739.815,666.393376864
BR00148923,D22,BRD-K01824972-001-05-9,6.64433,6644.33,10.0,10000.0,0.04,40,DMSO,664.433,664.116946663
BR00148923,D23,,,,,,0.0,0,,,
BR00148923,D24,,,,,,0.04,40,DMSO,,
BR00148923,E01,,,,,,0.0,0,,,
BR00148923,E02,,,,,,0.04,40,DMSO,,
BR00148923,E03,BRD-A51747092-003-03-0,2.75772,2757.72,10.0,10000.0,0.04,40,DMSO,275.772,239.152143543
BR00148923,E04,BRD-K02992638-001-14-9,2.29256,2292.56,10.0,10000.0,0.04,40,DMSO,229.256,229.052111923
BR00148923,E05,BRD-A09925278-003-05-6,2.17693,2176.93,10.0,10000.0,0.04,40,DMSO,217.693,181.110278729
BR00148923,E06,BRD-K48304345-332-03-9,5.575094,5575.094,10.0,10000.0,0.04,40,DMSO,557.5094,325.153874877
BR00148923,E07,BRD-K29950728-001-19-9,4.0596,4059.6,10.0,10000.0,0.04,40,DMSO,405.96,405.18594223
BR00148923,E08,BRD-K49783248-303-08-4,4.2031,4203.1,10.0,10000.0,0.04,40,DMSO,420.31,258.303499226
BR00148923,E09,BRD-K80129304-001-10-9,1.120868,1120.868,10.0,10000.0,0.04,40,DMSO,112.0868,112.027277382
BR00148923,E10,BRD-K97521363-001-16-1,3.80656,3806.56,10.0,10000.0,0.04,40,DMSO,380.656,378.90218026
BR00148923,E11,BRD-K68693535-001-09-9,2.202709,2202.709,10.0,10000.0,0.04,40,DMSO,220.2709,220.132411154
BR00148923,E12,BRD-K96740444-003-09-9,3.94892,3948.92,10.0,10000.0,0.04,40,DMSO,394.892,358.18925733
BR00148923,E13,BRD-K01826531-311-10-9,3.63945,3639.45,10.0,10000.0,0.04,40,DMSO,363.945,309.155120431
BR00148923,E14,BRD-K54208592-001-10-9,2.012212,2012.212,10.0,10000.0,0.04,40,DMSO,201.2212,201.078978601
BR00148923,E15,BRD-K01826548-001-17-9,2.774018,2774.018,10.0,10000.0,0.04,40,DMSO,277.4018,277.204179113
BR00148923,E16,BRD-K92838188-001-01-9,7.858785,7858.785,10.0,10000.0,0.04,40,DMSO,785.8785,785.352359489
BR00148923,E17,BRD-K28761891-001-12-9,2.593434,2593.434,10.0,10000.0,0.04,40,DMSO,259.3434,259.157228921
BR00148923,E18,BRD-K04548931-003-19-9,5.7998,5799.8,10.0,10000.0,0.04,40,DMSO,579.98,543.174060775
BR00148923,E19,BRD-K17443395-001-05-9,2.863323,2863.323,10.0,10000.0,0.04,40,DMSO,286.3323,286.154209228
BR00148923,E20,BRD-K72723676-003-18-9,4.49089,4490.89,10.0,10000.0,0.04,40,DMSO,449.089,412.321554593
BR00148923,E21,BRD-K01825579-001-06-9,2.13704,2137.04,10.0,10000.0,0.04,40,DMSO,213.704,213.092041846
BR00148923,E22,BRD-K10196357-003-02-0,4.30301,4303.01,10.0,10000.0,0.04,40,DMSO,430.301,393.125547465
BR00148923,E23,,,,,,0.0,0,,,
BR00148923,E24,,,,,,0.04,40,DMSO,,
BR00148923,F01,,,,,,0.0,0,,,
BR00148923,F02,,,,,,0.04,40,DMSO,,
BR00148923,F03,BRD-A40472231-304-01-7,5.21494,5214.94,10.0,10000.0,0.04,40,DMSO,521.494,475.141320859
BR00148923,F04,BRD-K38041788-001-02-9,3.694971,3694.971,10.0,10000.0,0.04,40,DMSO,369.4971,369.230393863
BR00148923,F05,BRD-K51199656-003-01-4,1.58622,1586.22,10.0,10000.0,0.04,40,DMSO,158.622,122.098117248
BR00148923,F06,BRD-K47492008-001-02-7,2.26656,2266.56,10.0,10000.0,0.04,40,DMSO,226.656,226.039671925
BR00148923,F07,BRD-K73701464-003-02-1,3.47238,3472.38,10.0,10000.0,0.04,40,DMSO,347.238,310.087290819
BR00148923,F08,BRD-K57033106-003-20-9,2.91819,2918.19,10.0,10000.0,0.04,40,DMSO,291.819,255.173547687
BR00148923,F09,BRD-K93814253-001-06-8,2.9083,2908.3,10.0,10000.0,0.04,40,DMSO,290.83,287.860066434
BR00148923,F10,BRD-K89375097-300-08-8,4.24324,4243.24,10.0,10000.0,0.04,40,DMSO,424.324,351.169524941
BR00148923,F11,BRD-A83029242-001-08-7,3.73441,3734.41,10.0,10000.0,0.04,40,DMSO,373.441,373.114792406
BR00148923,F12,BRD-A34006693-001-16-9,2.60308,2603.08,10.0,10000.0,0.04,40,DMSO,260.308,260.05071494
BR00148923,F13,BRD-K99750640-236-20-3,4.77497,4774.97,10.0,10000.0,0.04,40,DMSO,477.497,454.030013046
BR00148923,F14,BRD-A26387268-050-04-4,4.41477,4414.77,10.0,10000.0,0.04,40,DMSO,441.477,325.179026995
BR00148923,F15,BRD-A69512159-001-07-3,2.262292,2262.292,10.0,10000.0,0.04,40,DMSO,226.2292,226.095356946
BR00148923,F16,BRD-K37753391-046-03-2,10.661869,10661.869,10.0,10000.0,0.04,40,DMSO,1066.1869,915.519150043
BR00148923,F17,BRD-K71125570-004-15-6,3.63353,3633.53,10.0,10000.0,0.04,40,DMSO,363.353,282.243304273
BR00148923,F18,BRD-K60585088-001-03-9,4.166365,4166.365,10.0,10000.0,0.04,40,DMSO,416.6365,416.329045274
BR00148923,F19,BRD-K38938675-001-01-4,3.953756,3953.756,10.0,10000.0,0.04,40,DMSO,395.3756,395.145676136
BR00148923,F20,BRD-K00003182-001-01-9,4.89363,4893.63,10.0,10000.0,0.04,40,DMSO,489.363,489.141100517
BR00148923,F21,BRD-K71013094-326-03-4,9.08879,9088.79,10.0,10000.0,0.04,40,DMSO,908.879,614.312285588
BR00148923,F22,BRD-K01826562-001-15-9,3.14852,3148.52,10.0,10000.0,0.04,40,DMSO,314.852,314.154976453
BR00148923,F23,,,,,,0.0,0,,,
BR00148923,F24,,,,,,0.04,40,DMSO,,
BR00148923,G01,,,,,,0.0,0,,,
BR00148923,G02,,,,,,0.04,40,DMSO,,
BR00148923,G03,BRD-K16484091-001-01-1,6.528189,6528.189,10.0,10000.0,0.04,40,DMSO,652.8189,652.351237278
BR00148923,G04,BRD-A25608658-001-02-9,7.65038,7650.38,10.0,10000.0,0.04,40,DMSO,765.038,764.507463138
BR00148923,G05,BRD-K38512030-001-01-7,6.977686,6977.686,10.0,10000.0,0.04,40,DMSO,697.7686,697.309825973
BR00148923,G06,BRD-K11292736-300-04-9,6.10487,6104.87,10.0,10000.0,0.04,40,DMSO,610.487,536.268482022
BR00148923,G07,BRD-K33637378-001-02-9,3.904021,3904.021,10.0,10000.0,0.04,40,DMSO,390.4021,390.166745929
BR00148923,G08,BRD-K00003688-001-01-9,2.903972,2903.972,10.0,10000.0,0.04,40,DMSO,290.3972,290.188194698
BR00148923,G09,BRD-K80396088-001-13-9,5.27632,5276.32,10.0,10000.0,0.04,40,DMSO,527.632,527.209006493
