moa,compound_id
DNA alkylating agent,BRD-K87827419
DNA inhibitor,BRD-K87827419
glucocorticoid receptor agonist,BRD-K87990216
immunosuppressant,BRD-K88025533
sphingosine 1-phosphate receptor agonist,BRD-K88025533
bacterial 30S ribosomal subunit inhibitor,BRD-K88043978
hydroxy radical formation stimulant,BRD-K88052444
immunosuppressant,BRD-K88061624
inosine monophosphate dehydrogenase inhibitor,BRD-K88061624
antihistamine,BRD-K88090157
GABA receptor modulator,BRD-K88143662
opioid receptor antagonist,BRD-K88172511
analgesic agent,BRD-K88308881
3-ketoacyl CoA thiolase inhibitor,BRD-K88366685
antihistamine,BRD-K88405679
dihydrofolate reductase inhibitor,BRD-K88429204
NFkB pathway inhibitor,BRD-K88510285
proteasome inhibitor,BRD-K88510285
monoamine oxidase inhibitor,BRD-K88568253
glutamate receptor agonist,BRD-K88611939
membrane integrity inhibitor,BRD-K88625236
diuretic,BRD-K88682005
chelating agent,BRD-K88701661
serotonin receptor partial agonist,BRD-K88743730
antiviral,BRD-K88786763
aromatase inhibitor,BRD-K88789588
muscle relaxant,BRD-K89055274
ryanodine receptor activator,BRD-K89056082
protein synthesis inhibitor,BRD-K89121095
antiprotozoal agent,BRD-K89125793
thyroid hormone stimulant,BRD-K89152108
adrenergic receptor agonist,BRD-K89208535
vitamin B,BRD-K89210380
bradykinin receptor antagonist,BRD-K89237706
tubulin polymerization inhibitor,BRD-K89237706
opioid receptor agonist,BRD-K89272869
bone resorption inhibitor,BRD-K89337853
angiotensin converting enzyme inhibitor,BRD-K89348303
acetylcholine receptor antagonist,BRD-K89375097
topoisomerase inhibitor,BRD-K89561498
adrenergic receptor antagonist,BRD-K89704198
cyclooxygenase inhibitor,BRD-K89714990
lipoxygenase inhibitor,BRD-K89714990
dopamine receptor antagonist,BRD-K89732114
HCV inhibitor,BRD-K89920762
acetylcholine receptor antagonist,BRD-K89923877
dopamine receptor antagonist,BRD-K89997465
thiamine uptake blocker,BRD-K90027121
mineralocorticoid receptor antagonist,BRD-K90027355
selective estrogen receptor modulator (SERM),BRD-K90195324
adrenergic receptor antagonist,BRD-K90333595
other antibiotic,BRD-K90374350
fungal ergosterol inhibitor,BRD-K90563805
anti-inflammatory agent,BRD-K90629600
cyclooxygenase inhibitor,BRD-K90629600
fungal squalene epoxidase inhibitor,BRD-K90630139
bacterial cell wall synthesis inhibitor,BRD-K90733503
adrenergic inhibitor,BRD-K90789829
norepinephrine reuptake inhibitor,BRD-K90789829
serotonin receptor antagonist,BRD-K90789829
serotonin reuptake inhibitor,BRD-K90789829
ATPase inhibitor,BRD-K90817094
sodium/glucose cotransporter inhibitor,BRD-K90868879
acetylcholine receptor antagonist,BRD-K90885812
DNA alkylating agent,BRD-K90947825
DNA inhibitor,BRD-K90947825
bacterial cell wall synthesis inhibitor,BRD-K91065602
dopamine receptor agonist,BRD-K91111634
acetylcholine receptor antagonist,BRD-K91244729
tricyclic antidepressant,BRD-K91263825
histamine receptor agonist,BRD-K91290917
bradykinin receptor antagonist,BRD-K91301684
tubulin polymerization inhibitor,BRD-K91301684
histamine receptor agonist,BRD-K91315211
histamine receptor antagonist,BRD-K91315211
prostanoid receptor antagonist,BRD-K91422571
neprilysin inhibitor,BRD-K91456750
membrane permeability inhibitor,BRD-K91495480
adenosine deaminase inhibitor,BRD-K91543828
ribonucleotide reductase inhibitor,BRD-K91543828
immunostimulant,BRD-K91544578
immunosuppressant,BRD-K91601245
protein synthesis inhibitor,BRD-K91601245
purine antagonist,BRD-K91601245
local anesthetic,BRD-K91699951
cyclooxygenase inhibitor,BRD-K91740057
glutamate receptor antagonist,BRD-K91938660
sodium channel blocker,BRD-K92049597
progesterone receptor agonist,BRD-K92073408
calcineurin inhibitor,BRD-K92107055
monoamine oxidase inhibitor,BRD-K92129045
microsomal trigylceride transfer protein inhibitor,BRD-K92213669
dehydrogenase inhibitor,BRD-K92428153
inositol monophosphatase inhibitor,BRD-K92428153
retinoid receptor agonist,BRD-K92441787
glutathione transferase stimulant,BRD-K92490248
tissue transglutaminase inhibitor,BRD-K92611362
dopamine reuptake inhibitor,BRD-K92613113
glutamate inhibitor,BRD-K92613113
monoamine oxidase inhibitor,BRD-K92613113
Bcr-Abl kinase inhibitor,BRD-K92723993
KIT inhibitor,BRD-K92723993
PDGFR tyrosine kinase receptor inhibitor,BRD-K92723993
angiotensin converting enzyme inhibitor,BRD-K92731339
vitamin B,BRD-K92760278
cyclooxygenase inhibitor,BRD-K92778217
RNA synthesis inhibitor,BRD-K92838188
bacterial cell wall synthesis inhibitor,BRD-K92872987
progesterone receptor agonist,BRD-K92902018
dopamine receptor antagonist,BRD-K92984783
serotonin receptor antagonist,BRD-K92984783
contrast agent,BRD-K92988025
adenosine deaminase inhibitor,BRD-K93034159
ribonucleotide reductase inhibitor,BRD-K93034159
phosphodiesterase inhibitor,BRD-K93208532
thrombopoietin receptor agonist,BRD-K93228461
bacterial cell wall synthesis inhibitor,BRD-K93231391
vasopressin receptor agonist,BRD-K93331255
monoamine oxidase inhibitor,BRD-K93332168
acetylcholine receptor antagonist,BRD-K93441486
thrombin inhibitor,BRD-K93442924
serotonin receptor antagonist,BRD-K93460210
sodium channel blocker,BRD-K93460210
serotonin receptor agonist,BRD-K93461745
bacterial antifolate,BRD-K93524252
glucocorticoid receptor agonist,BRD-K93568044
bone resorption inhibitor,BRD-K93618743
cyclooxygenase inhibitor,BRD-K93632104
prostanoid receptor antagonist,BRD-K93632104
phosphodiesterase inhibitor,BRD-K93645900
estrogen receptor antagonist,BRD-K93754473
selective estrogen receptor modulator (SERM),BRD-K93754473
neuraminidase inhibitor,BRD-K93767137
PKC activator,BRD-K93779381
thyrotropin releasing hormone receptor agonist,BRD-K93869735
DNA directed DNA polymerase inhibitor,BRD-K93880783
nucleoside reverse transcriptase inhibitor,BRD-K93880783
FLT3 inhibitor,BRD-K93918653
lipase inhibitor,BRD-K94062100
bone resorption inhibitor,BRD-K94072573
ionotropic receptor IR40a activator,BRD-K94080537
ribonucleotide reductase inhibitor,BRD-K94146583
beta lactamase inhibitor,BRD-K94250879
antiprotozoal agent,BRD-K94266545
glucocorticoid receptor agonist,BRD-K94353609
bacterial cell wall synthesis inhibitor,BRD-K94358652
aryl hydrocarbon receptor agonist,BRD-K94436377
capillary stabilizing agent,BRD-K94436377
antispasmodic,BRD-K94720315
cytochrome P450 inhibitor,BRD-K94830213
phosphodiesterase inhibitor,BRD-K94830213
CFTR channel agonist,BRD-K94830329
dystrophin stimulant,BRD-K94830329
antiprotozoal agent,BRD-K94848716
uricosuric blocker,BRD-K95237249
dopamine receptor antagonist,BRD-K95260951
serotonin receptor antagonist,BRD-K95260951
estrogen receptor agonist,BRD-K95309561
vesicular monoamine transporter inhibitor,BRD-K95739795
PDGFR tyrosine kinase receptor inhibitor,BRD-K95763993
acetylcholine receptor antagonist,BRD-K95773607
vitamin B,BRD-K95785345
vesicular monoamine transporter inhibitor,BRD-K95921201
nerve growth factor agonist,BRD-K95957366
progesterone receptor agonist,BRD-K96037667
gap junction modulator,BRD-K96137854
DNA polymerase inhibitor,BRD-K96153583
DNA polymerase inhibitor,BRD-K96159438
angiotensin converting enzyme inhibitor,BRD-K96177243
cyclooxygenase inhibitor,BRD-K96206066
prostaglandin inhibitor,BRD-K96206066
adrenergic receptor agonist,BRD-K96253961
local anesthetic,BRD-K96282009
sodium/glucose cotransporter inhibitor,BRD-K96344439
calcium channel blocker,BRD-K96354014
protein synthesis inhibitor,BRD-K96424892
pyruvate ferredoxin oxidoreductase inhibitor,BRD-K96471533
dipeptidyl peptidase inhibitor,BRD-K96550715
bacterial cell wall synthesis inhibitor,BRD-K96571715
bacterial cell wall synthesis inhibitor,BRD-K96734425
bacterial 30S ribosomal subunit inhibitor,BRD-K96737756
dopamine receptor antagonist,BRD-K96740444
bacterial cell wall synthesis inhibitor,BRD-K96786677
TGF beta receptor inhibitor,BRD-K96862998
gonadotropin releasing factor hormone receptor agonist,BRD-K96874295
chelating agent,BRD-K97010173
leukotriene receptor antagonist,BRD-K97045029
coagulation factor inhibitor,BRD-K97058489
dopamine receptor antagonist,BRD-K97158071
metallic radical formation stimulant,BRD-K97163964
sodium channel blocker,BRD-K97181089
calcium channel blocker,BRD-K97181463
contraceptive agent,BRD-K97197005
dopamine receptor antagonist,BRD-K97309399
polar auxin transport inhibitor,BRD-K97399794
neurokinin receptor antagonist,BRD-K97428065
tachykinin antagonist,BRD-K97428065
adrenergic receptor antagonist,BRD-K97440753
prolactin inhibitor,BRD-K97440753
dihydrofolate reductase inhibitor,BRD-K97464279
progesterone receptor antagonist,BRD-K97472745
glycolysis inhibitor,BRD-K97521363
melatonin receptor agonist,BRD-K97530723
nitric oxide synthase inhibitor,BRD-K97530723
cathepsin inhibitor,BRD-K97534525
histamine receptor antagonist,BRD-K97564742
ATP channel blocker,BRD-K97746869
nitric oxide donor,BRD-K97752965
potassium channel activator,BRD-K97752965
adenosine receptor antagonist,BRD-K97799481
glucocorticoid receptor agonist,BRD-K97810537
hypoxia inducible factor inhibitor,BRD-K97874492
protein synthesis stimulant,BRD-K97884852
bacterial 50S ribosomal subunit inhibitor,BRD-K97891829
progesterone receptor agonist,BRD-K97939847
histamine receptor antagonist,BRD-K98004573
platelet activating factor receptor antagonist,BRD-K98004573
aldose reductase inhibitor,BRD-K98054437
bacterial 30S ribosomal subunit inhibitor,BRD-K98174813
bacterial DNA gyrase inhibitor,BRD-K98384930
local anesthetic,BRD-K98494274
adrenergic receptor agonist,BRD-K98530306
histamine receptor antagonist,BRD-K98624455
cyclooxygenase inhibitor,BRD-K98763141
apoptosis stimulant,BRD-K98765504
benzodiazepine receptor antagonist,BRD-K98769987
nucleoside reverse transcriptase inhibitor,BRD-K99063460
glutamate receptor antagonist,BRD-K99107520
sodium channel blocker,BRD-K99121711
glucocorticoid receptor agonist,BRD-K99199077
radiopaque medium,BRD-K99241550
antihistamine,BRD-K99300445
thymidylate synthase inhibitor,BRD-K99383816
angiotensin converting enzyme inhibitor,BRD-K99447003
HIV protease inhibitor,BRD-K99451608
gonadotropin releasing factor hormone receptor agonist,BRD-K99504665
progesterone receptor agonist,BRD-K99615199
acetylcholine receptor antagonist,BRD-K99621550
local anesthetic,BRD-K99622919
bacterial cell wall synthesis inhibitor,BRD-K99750640
potassium channel activator,BRD-K99792991
Na/K-ATPase inhibitor,BRD-K99919177
local anesthetic,BRD-K99946902
Abl kinase inhibitor,BRD-K99964838
Bcr-Abl kinase inhibitor,BRD-K99964838
SRC inhibitor,BRD-K99964838
prostanoid receptor antagonist,BRD-K99984802
adrenergic receptor agonist,BRD-M00027710
neprilysin inhibitor,BRD-M00027711
histamine receptor antagonist,BRD-M00027712
bacterial 30S ribosomal subunit inhibitor,BRD-M15413738
adrenergic receptor antagonist,BRD-M39350793
enzyme inducer,BRD-M42056162
heme oxygenase activators,BRD-M42056162
bacterial cell wall synthesis inhibitor,BRD-M45010341
other antifungal,BRD-M49658242
cyclooxygenase inhibitor,BRD-M63173034
cyclooxygenase inhibitor,BRD-M64062803
diuretic,BRD-M67659203
antacid,BRD-M71167108
immunostimulant,BRD-M75061779
DNA synthesis inhibitor,BRD-M78068755
dna alkylating drug,BRD-M78068755
dopamine receptor antagonist,BRD-M80207679
hypoxia inducible factor inhibitor,BRD-M87138257
selective estrogen receptor modulator (SERM),BRD-M93148412
acetylcholine receptor agonist,BRD-M98279124
