moa,compound_id
adrenergic receptor agonist,BRD-A86414188
adrenergic receptor agonist,BRD-A86665761
lipoxygenase inhibitor,BRD-A87130939
adrenergic receptor antagonist,BRD-A87606379
adrenergic receptor antagonist,BRD-A87715314
glucocorticoid receptor agonist,BRD-A88138582
adrenergic receptor agonist,BRD-A88254928
dipeptidyl peptidase inhibitor,BRD-A88369366
gonadotropin releasing factor hormone receptor antagonist,BRD-A88562598
analgesic agent,BRD-A88684804
adrenergic receptor antagonist,BRD-A89175223
dopamine receptor agonist,BRD-A89207210
serotonin receptor antagonist,BRD-A89207210
PKC inhibitor,BRD-A89825407
expectorant,BRD-A90515964
platelet aggregation inhibitor,BRD-A90547603
cyclooxygenase inhibitor,BRD-A90551241
lipase clearing factor inhibitor,BRD-A90625545
calcium channel blocker,BRD-A90695733
nitric oxide synthase stimulant,BRD-A90796352
calcium channel blocker,BRD-A90799790
bacterial cell wall synthesis inhibitor,BRD-A90807417
adrenergic receptor agonist,BRD-A90926615
calcium channel blocker,BRD-A91008255
benzodiazepine receptor agonist,BRD-A91366704
DNA alkylating agent,BRD-A91386192
histamine receptor antagonist,BRD-A91444184
estrogen receptor agonist,BRD-A91452556
antimalarial agent,BRD-A91699651
glucocorticoid receptor agonist,BRD-A92177080
muscle relaxant,BRD-A92262698
bacterial DNA gyrase inhibitor,BRD-A92341659
glucocorticoid receptor agonist,BRD-A92439610
immunosuppressant,BRD-A92439610
opioid receptor agonist,BRD-A92630576
sodium channel blocker,BRD-A92670106
tumor necrosis factor production inhibitor,BRD-A93255169
cyclooxygenase inhibitor,BRD-A93683007
glucocorticoid receptor agonist,BRD-A93963402
phospholipase activator,BRD-A93963402
bacterial 30S ribosomal subunit inhibitor,BRD-A94008949
bacterial 50S ribosomal subunit inhibitor,BRD-A94008949
adrenergic receptor antagonist,BRD-A94276798
glucocorticoid receptor agonist,BRD-A94523291
sterol demethylase inhibitor,BRD-A94543220
adenosine receptor agonist,BRD-A94624445
camp stimulant,BRD-A94624445
muscle relaxant,BRD-A94709349
dna alkylating drug,BRD-A94713674
dipeptidyl peptidase inhibitor,BRD-A94993966
chloride reabsorption inhibitor,BRD-A95340155
adrenergic receptor antagonist,BRD-A95602221
thiazide diuretic,BRD-A95869247
ornithine decarboxylase inhibitor,BRD-A96292436
cosmetic,BRD-A96407378
adrenergic receptor agonist,BRD-A97104540
PPAR receptor agonist,BRD-A97437073
insulin sensitizer,BRD-A97437073
acetylcholine receptor antagonist,BRD-A97479839
sodium channel blocker,BRD-A97674275
adrenergic receptor antagonist,BRD-A97701745
sodium channel blocker,BRD-A97730597
cyclooxygenase inhibitor,BRD-A97739905
cyclooxygenase inhibitor,BRD-A98378129
histamine release inhibitor,BRD-A98427211
